map_id,difficulty,agent,success,score,score_delta,initial_health,remaining_health,steps,pit_entries,collected_gold,wumpus_death,termination_reason,runtime_ms,expanded_nodes,plan_cost,error
test_001_easy,easy,astar,1,158,38,120,108,12,0,1,0,escaped_with_gold,0.3535,33,12,
test_001_easy,easy,rule,1,140,20,120,90,30,0,1,0,escaped_with_gold,0.7883,0,0,
test_001_easy,easy,genetic,1,148,28,120,98,22,0,1,0,escaped_with_gold,0.9547,0,0,
test_002_easy,easy,astar,1,157,37,120,107,13,0,1,0,escaped_with_gold,0.3599,36,13,
test_002_easy,easy,rule,1,139,19,120,89,31,0,1,0,escaped_with_gold,0.775,0,0,
test_002_easy,easy,genetic,1,123,3,120,73,47,0,1,0,escaped_with_gold,1.94,0,0,
test_003_easy,easy,astar,1,162,42,120,112,8,0,1,0,escaped_with_gold,0.192,13,8,
test_003_easy,easy,rule,1,124,4,120,74,46,0,1,0,escaped_with_gold,1.1412,0,0,
test_003_easy,easy,genetic,1,140,20,120,90,30,0,1,0,escaped_with_gold,1.3372,0,0,
test_004_easy,easy,astar,1,159,39,120,109,11,0,1,0,escaped_with_gold,0.3188,33,11,
test_004_easy,easy,rule,1,157,37,120,107,13,0,1,0,escaped_with_gold,0.3283,0,0,
test_004_easy,easy,genetic,1,159,39,120,109,11,0,1,0,escaped_with_gold,0.5409,0,0,
test_005_easy,easy,astar,1,160,40,120,110,10,0,1,0,escaped_with_gold,0.2667,21,10,
test_005_easy,easy,rule,1,120,0,120,70,50,0,1,0,escaped_with_gold,1.4043,0,0,
test_005_easy,easy,genetic,1,158,38,120,108,12,0,1,0,escaped_with_gold,0.5543,0,0,
test_006_easy,easy,astar,1,154,34,120,104,16,0,1,0,escaped_with_gold,0.406,44,16,
test_006_easy,easy,rule,1,124,4,120,74,46,0,1,0,escaped_with_gold,1.238,0,0,
test_006_easy,easy,genetic,1,148,28,120,98,22,0,1,0,escaped_with_gold,1.1951,0,0,
test_007_easy,easy,astar,1,158,38,120,108,12,0,1,0,escaped_with_gold,0.312,31,12,
test_007_easy,easy,rule,1,146,26,120,96,24,0,1,0,escaped_with_gold,0.5954,0,0,
test_007_easy,easy,genetic,1,146,26,120,96,24,0,1,0,escaped_with_gold,1.0527,0,0,
test_008_easy,easy,astar,1,152,32,120,102,18,0,1,0,escaped_with_gold,0.4003,44,18,
test_008_easy,easy,rule,1,120,0,120,70,50,0,1,0,escaped_with_gold,1.3438,0,0,
test_008_easy,easy,genetic,1,148,28,120,98,22,0,1,0,escaped_with_gold,1.3399,0,0,
test_009_easy,easy,astar,1,161,41,120,111,9,0,1,0,escaped_with_gold,0.1951,17,9,
test_009_easy,easy,rule,0,83,-37,120,83,37,0,0,0,escaped_without_gold,0.9949,0,0,
test_009_easy,easy,genetic,1,107,-13,120,57,63,0,1,0,escaped_with_gold,2.6303,0,0,
test_010_easy,easy,astar,1,157,37,120,107,13,0,1,0,escaped_with_gold,0.3158,32,13,
test_010_easy,easy,rule,1,135,15,120,85,35,0,1,0,escaped_with_gold,0.9013,0,0,
test_010_easy,easy,genetic,1,139,19,120,89,31,0,1,0,escaped_with_gold,1.2838,0,0,
test_011_medium,medium,astar,1,158,38,120,108,12,0,1,0,escaped_with_gold,0.2625,27,12,
test_011_medium,medium,rule,1,69,-51,120,29,44,1,1,0,escaped_with_gold,2.3777,0,0,
test_011_medium,medium,genetic,0,0,-120,120,0,120,0,0,0,health_depleted,4.8673,0,0,
test_012_medium,medium,astar,1,152,32,120,102,18,0,1,0,escaped_with_gold,0.3635,38,18,
test_012_medium,medium,rule,1,140,20,120,90,30,0,1,0,escaped_with_gold,0.8511,0,0,
test_012_medium,medium,genetic,1,134,14,120,84,36,0,1,0,escaped_with_gold,1.5107,0,0,
test_013_medium,medium,astar,1,159,39,120,109,11,0,1,0,escaped_with_gold,0.2185,18,11,
test_013_medium,medium,rule,1,66,-54,120,26,51,1,1,0,escaped_with_gold,3.3601,0,0,
test_013_medium,medium,genetic,0,50,-70,120,0,120,0,1,0,health_depleted,5.1054,0,0,
test_014_medium,medium,astar,1,157,37,120,107,13,0,1,0,escaped_with_gold,0.3192,25,13,
test_014_medium,medium,rule,1,155,35,120,105,15,0,1,0,escaped_with_gold,0.4183,0,0,
test_014_medium,medium,genetic,1,141,21,120,91,29,0,1,0,escaped_with_gold,1.4533,0,0,
test_015_medium,medium,astar,1,159,39,120,109,11,0,1,0,escaped_with_gold,0.2621,21,11,
test_015_medium,medium,rule,1,143,23,120,93,27,0,1,0,escaped_with_gold,0.711,0,0,
test_015_medium,medium,genetic,1,157,37,120,107,13,0,1,0,escaped_with_gold,0.696,0,0,
test_016_medium,medium,astar,1,157,37,120,107,13,0,1,0,escaped_with_gold,0.2779,28,13,
test_016_medium,medium,rule,1,62,-58,120,22,51,1,1,0,escaped_with_gold,2.9071,0,0,
test_016_medium,medium,genetic,0,-20,-140,120,0,62,2,0,0,health_depleted,1.9906,0,0,
test_017_medium,medium,astar,1,160,40,120,110,10,0,1,0,escaped_with_gold,0.2182,18,10,
test_017_medium,medium,rule,1,126,6,120,76,44,0,1,0,escaped_with_gold,1.2547,0,0,
test_017_medium,medium,genetic,1,160,40,120,110,10,0,1,0,escaped_with_gold,0.5391,0,0,
test_018_medium,medium,astar,1,155,35,120,105,15,0,1,0,escaped_with_gold,0.3568,40,15,
test_018_medium,medium,rule,1,143,23,120,93,27,0,1,0,escaped_with_gold,0.7232,0,0,
test_018_medium,medium,genetic,1,147,27,120,97,23,0,1,0,escaped_with_gold,1.053,0,0,
test_019_medium,medium,astar,1,157,37,120,107,13,0,1,0,escaped_with_gold,0.2637,25,13,
test_019_medium,medium,rule,1,78,-42,120,38,35,1,1,0,escaped_with_gold,1.8093,0,0,
test_019_medium,medium,genetic,1,117,-3,120,67,53,0,1,0,escaped_with_gold,2.1849,0,0,
test_020_medium,medium,astar,1,156,36,120,106,14,0,1,0,escaped_with_gold,0.2896,29,14,
test_020_medium,medium,rule,1,140,20,120,90,30,0,1,0,escaped_with_gold,0.8129,0,0,
test_020_medium,medium,genetic,1,144,24,120,94,26,0,1,0,escaped_with_gold,1.179,0,0,
test_021_hard,hard,astar,1,161,41,120,111,9,0,1,0,escaped_with_gold,0.183,14,9,
test_021_hard,hard,rule,1,151,31,120,101,19,0,1,0,escaped_with_gold,0.4667,0,0,
