map_id,difficulty,agent,success,score,score_delta,initial_health,remaining_health,steps,pit_entries,collected_gold,wumpus_death,termination_reason,runtime_ms,expanded_nodes,plan_cost,error
test_001_easy,easy,astar,1,158,38,120,108,12,0,1,0,escaped_with_gold,0.6257,33,12,
test_001_easy,easy,rule,1,140,20,120,90,30,0,1,0,escaped_with_gold,1.4958,0,0,
test_001_easy,easy,genetic,1,148,28,120,98,22,0,1,0,escaped_with_gold,1.9511,0,0,
test_002_easy,easy,astar,1,157,37,120,107,13,0,1,0,escaped_with_gold,0.7033,36,13,
test_002_easy,easy,rule,1,139,19,120,89,31,0,1,0,escaped_with_gold,1.495,0,0,
test_002_easy,easy,genetic,1,123,3,120,73,47,0,1,0,escaped_with_gold,4.1279,0,0,
test_003_easy,easy,astar,1,162,42,120,112,8,0,1,0,escaped_with_gold,0.421,13,8,
test_003_easy,easy,rule,1,124,4,120,74,46,0,1,0,escaped_with_gold,2.1889,0,0,
test_003_easy,easy,genetic,1,140,20,120,90,30,0,1,0,escaped_with_gold,2.5572,0,0,
test_004_easy,easy,astar,1,159,39,120,109,11,0,1,0,escaped_with_gold,0.6188,33,11,
test_004_easy,easy,rule,1,157,37,120,107,13,0,1,0,escaped_with_gold,0.7566,0,0,
test_004_easy,easy,genetic,1,159,39,120,109,11,0,1,0,escaped_with_gold,1.109,0,0,
test_005_easy,easy,astar,1,160,40,120,110,10,0,1,0,escaped_with_gold,0.5316,21,10,
test_005_easy,easy,rule,1,120,0,120,70,50,0,1,0,escaped_with_gold,2.7125,0,0,
test_005_easy,easy,genetic,1,158,38,120,108,12,0,1,0,escaped_with_gold,1.2189,0,0,
test_006_easy,easy,astar,1,154,34,120,104,16,0,1,0,escaped_with_gold,0.7265,44,16,
test_006_easy,easy,rule,1,124,4,120,74,46,0,1,0,escaped_with_gold,2.3845,0,0,
test_006_easy,easy,genetic,1,148,28,120,98,22,0,1,0,escaped_with_gold,2.376,0,0,
test_007_easy,easy,astar,1,158,38,120,108,12,0,1,0,escaped_with_gold,0.6917,31,12,
test_007_easy,easy,rule,1,146,26,120,96,24,0,1,0,escaped_with_gold,1.2399,0,0,
test_007_easy,easy,genetic,1,146,26,120,96,24,0,1,0,escaped_with_gold,2.0841,0,0,
test_008_easy,easy,astar,1,152,32,120,102,18,0,1,0,escaped_with_gold,0.7949,44,18,
test_008_easy,easy,rule,1,120,0,120,70,50,0,1,0,escaped_with_gold,2.4951,0,0,
test_008_easy,easy,genetic,1,148,28,120,98,22,0,1,0,escaped_with_gold,2.5599,0,0,
test_009_easy,easy,astar,1,161,41,120,111,9,0,1,0,escaped_with_gold,0.411,17,9,
test_009_easy,easy,rule,0,83,-37,120,83,37,0,0,0,escaped_without_gold,1.8207,0,0,
test_009_easy,easy,genetic,1,107,-13,120,57,63,0,1,0,escaped_with_gold,5.1397,0,0,
test_010_easy,easy,astar,1,157,37,120,107,13,0,1,0,escaped_with_gold,0.625,32,13,
test_010_easy,easy,rule,1,135,15,120,85,35,0,1,0,escaped_with_gold,1.6362,0,0,
test_010_easy,easy,genetic,1,139,19,120,89,31,0,1,0,escaped_with_gold,2.4277,0,0,
test_011_medium,medium,astar,1,158,38,120,108,12,0,1,0,escaped_with_gold,0.5192,27,12,
test_011_medium,medium,rule,1,69,-51,120,29,44,1,1,0,escaped_with_gold,4.2706,0,0,
test_011_medium,medium,genetic,0,0,-120,120,0,120,0,0,0,health_depleted,9.3119,0,0,
test_012_medium,medium,astar,1,152,32,120,102,18,0,1,0,escaped_with_gold,0.7067,38,18,
test_012_medium,medium,rule,1,140,20,120,90,30,0,1,0,escaped_with_gold,1.5953,0,0,
test_012_medium,medium,genetic,1,134,14,120,84,36,0,1,0,escaped_with_gold,3.0896,0,0,
test_013_medium,medium,astar,1,159,39,120,109,11,0,1,0,escaped_with_gold,0.4649,18,11,
test_013_medium,medium,rule,1,66,-54,120,26,51,1,1,0,escaped_with_gold,5.8813,0,0,
test_013_medium,medium,genetic,0,50,-70,120,0,120,0,1,0,health_depleted,10.0769,0,0,
test_014_medium,medium,astar,1,157,37,120,107,13,0,1,0,escaped_with_gold,0.528,25,13,
test_014_medium,medium,rule,1,155,35,120,105,15,0,1,0,escaped_with_gold,1.0773,0,0,
test_014_medium,medium,genetic,1,141,21,120,91,29,0,1,0,escaped_with_gold,2.795,0,0,
test_015_medium,medium,astar,1,159,39,120,109,11,0,1,0,escaped_with_gold,0.5283,21,11,
test_015_medium,medium,rule,1,143,23,120,93,27,0,1,0,escaped_with_gold,1.4771,0,0,
test_015_medium,medium,genetic,1,157,37,120,107,13,0,1,0,escaped_with_gold,1.5462,0,0,
test_016_medium,medium,astar,1,157,37,120,107,13,0,1,0,escaped_with_gold,0.5519,28,13,
test_016_medium,medium,rule,1,62,-58,120,22,51,1,1,0,escaped_with_gold,5.1475,0,0,
test_016_medium,medium,genetic,0,-20,-140,120,0,62,2,0,0,health_depleted,4.0715,0,0,
test_017_medium,medium,astar,1,160,40,120,110,10,0,1,0,escaped_with_gold,0.4566,18,10,
test_017_medium,medium,rule,1,126,6,120,76,44,0,1,0,escaped_with_gold,2.3942,0,0,
test_017_medium,medium,genetic,1,160,40,120,110,10,0,1,0,escaped_with_gold,1.3066,0,0,
test_018_medium,medium,astar,1,155,35,120,105,15,0,1,0,escaped_with_gold,0.6844,40,15,
test_018_medium,medium,rule,1,143,23,120,93,27,0,1,0,escaped_with_gold,1.4229,0,0,
test_018_medium,medium,genetic,1,147,27,120,97,23,0,1,0,escaped_with_gold,2.0807,0,0,
test_019_medium,medium,astar,1,157,37,120,107,13,0,1,0,escaped_with_gold,0.543,25,13,
test_019_medium,medium,rule,1,78,-42,120,38,35,1,1,0,escaped_with_gold,3.4897,0,0,
test_019_medium,medium,genetic,1,117,-3,120,67,53,0,1,0,escaped_with_gold,4.4995,0,0,
test_020_medium,medium,astar,1,156,36,120,106,14,0,1,0,escaped_with_gold,0.6053,29,14,
test_020_medium,medium,rule,1,140,20,120,90,30,0,1,0,escaped_with_gold,1.5707,0,0,
test_020_medium,medium,genetic,1,144,24,120,94,26,0,1,0,escaped_with_gold,2.3822,0,0,
test_021_hard,hard,astar,1,161,41,120,111,9,0,1,0,escaped_with_gold,0.4109,14,9,
test_021_hard,hard,rule,1,151,31,120,101,19,0,1,0,escaped_with_gold,0.9555,0,0,
test_021_hard,hard,genetic,1,161,41,120,111,9,0,1,0,escaped_with_gold,1.0698,0,0,
test_022_hard,hard,astar,1,157,37,120,107,13,0,1,0,escaped_with_gold,0.584,26,13,
